00001ADAMSON             010104000014550324201021500067500040010011593        
00002BAKER               010105000001953425002012755080050025000032094        
00003CARTWELL            011010000012783145905021705097525030032041095        
00004DORSEY              010304500011280565102042800080050029027020293        
00005HAMMOND             010205000008512975004021950090000100040050595        
00006NOLTE               010204500012555832504021350090025022005062793        
00007REDFORD             010104800012257598303062907585075018010110195        
00008JOHNKE              020305500012853200002032200080025010012011593        
00009WHITE               020405900001897443701043500067500005000062094        
00010MARSHALL            020405300012580219602032702580050008035112994        
00011EISEN               020505000013580127704013250090050045040092894        
00012SAGER               020606800019553021902012900080025095040072594        
00013STERN               020706800008856772404023207590000020010100194        
00014SUMMERS             020806750003399552701013750067500025015020195        
00015JONES               030904000001133877209042100099575017009050595        
00016JOHNSON             031110000014588147702032252580075032012080195        
00017NOLAN               030204475005187332302033250080025002007071593        
00018CANTWELL            030206825018137955001022555067525087040062893        
00019SMITH               030207500001120503003011100085050052039021593        
50020HAMMEL              030405910012498674302042800080000005002032093        
50021RAMIREZ             030405704303105909006011362905533104000072895        
50022WASHINGTON          030304730821006670103012117210179033684000195        
50023JAMES               030304571630932401006020784709921846507032195        
50024LYONS               040606520290642075501031035103610039861002895        
50025GREGORY             040606719053594203205032191310836752103082894        
50026LINCOLN             040704326201807352204031630711069505720122894        
50027NEWMAN              040504653104299780402041242205600334982110494        
50028CARTWELL            040804708235342507701012218908775210436090495        
50029DREYFUS             050808310819330634106021326304439405521181795        
50030LOPEZ               050509201803741880203021562209323820057122895        
50031FRANKLIN            050404452118411038302030345610048502366092095        
50032FORTE               050304397235906208902012183103481132198122795        
50033BYRON               050805560172108047101021750010692077734072593        
50034KEATS               050304389432851442504032036603129608519052096        
50035SOMTER              050307161320508215506042149205563542137170193        
50036PITERIS             060204500005287954401024789120001245874060293        
50037SIMOS               060406890006955254805018884571231100214190394        
50038ASHLEY              060407580023578122202018710021458744455080495        
50039BUTTERFIELD         060804320000525877703018558214700124578050595        
50040CALIOPIS            060309600002398844709033695821474566654160695        
50041DESEREY             060208500036955228808032565025845554425130695        
50042FIELDSON            070105230011220569907034655897021554469110794        
50043GALAGHER            070808900099880252105042587940025480230021594        
50044HOUSTONS            070905200006854421306046871112455520200071694        
50045JACKSON             070208700009882587702028782323335448014041793        
50046KENDERSON           070203600003666514702027810025414798725011893        
50047LIPSTERS            070206850000241444701043545568881247703051994        
50048MANATARIS           070404000006998744203045412369874521452182095        
50049NICHOLSON           080505550006655203106038771236545457814162195        
50050OBERTON             080607500001148994506036871230021445875082293        
50051PETERS              080606300002335647808035687112450032548172394        
50052ROBERTS             080606520045811220007025545423589147258042494        
50053SERGIS              080908700004588664507012145870121436925112893        
50054TUCKERSON           080106500009821456608012458700012455589001995        
50055VRICOLICSON         080205000006523334509040114744530211658151895        
50056MACALUSO            080207580006394578809031245552411171133191795        
50057KORNS               080306000056621114009039022354555469588051993        
50058OKINS               090407560065478880005789780002145012456021293        
50059FRIEDMAN            090508950098755220101456787800121246545051193        
50060SANTOS              090504710003698522501789712545658001255041093        
00061ANDOLINI            090405530002335666402124565478701444110160193        
00062RUTH                090805000001478882503123547800014255252130293        
00063APPLESEED           090309080001112458704123500058741444369150394        
00064RIVERA              090208862309987223305789451233360025250180494        
00065RIVERSON            090105290006874114706789251422020369855140794        
